Date , Time , NumberPlate , Name
2024-10-03 , 00:42:08 , NU72REG ,
2024-11-04 , 11:35:34, ,dwarak_encoding
2024-11-04 , 12:08:29, ,dwarak_encoding
2024-11-04,12:09:12, ,dwarak_encoding
2024-11-04,12:23:15, ,dwarak_encoding
2024-11-04,13:19:31, ,dwarak_encoding
2024-11-04,13:19:36, ,dwarak_encoding
2024-11-04,13:19:39, ,dwarak_encoding
2024-11-04,13:24:55, ,dwarak_encoding
2024-11-04,13:25:38, ,dwarak_encoding
2024-11-04,13:25:40, ,dwarak_encoding
2024-11-04,13:25:42, ,dwarak_encoding
2024-11-04,13:25:44, ,dwarak_encoding
2024-11-04,13:28:02, ,dwarak_encoding
2024-11-04,13:28:04, ,dwarak_encoding
2024-11-04,13:28:11, ,dwarak_encoding
2024-11-04 , 13:29:05 , NU72REG , 
2024-11-04 , 13:29:06 , NU72REG , 
2024-11-04 , 13:29:07 , NU72REG , 
2024-11-04 , 13:29:08 , NU72REG , 
2024-11-04 , 13:29:09 , NU72REG , 
2024-11-04 , 13:29:10 , NU72REG , 
2024-11-04,13:31:43, ,dwarak_encoding
2024-11-04,13:31:45, ,dwarak_encoding
2024-11-04,13:31:47, ,dwarak_encoding
2024-11-04,13:34:17, ,barack obama
2024-11-04,13:34:18, ,barack obama
2024-11-04,13:34:20, ,barack obama
2024-11-04,13:34:22, ,barack obama
2024-11-04,13:34:24, ,dwarak_encoding
2024-11-09,00:56:10, ,dwarak_encoding
2024-11-09,10:06:40, ,dwarak_encoding
2024-11-09,10:06:43, ,dwarak_encoding
2024-11-09,10:48:50, ,dwarak_encoding
2024-11-09,12:27:16, ,dwarak_encoding
2024-11-09,12:27:20, ,dwarak_encoding
2024-11-09,12:27:23, ,dwarak_encoding
2024-11-09,12:27:27, ,dwarak_encoding
2024-11-09,12:29:02, ,me2_encoding
2024-11-09,12:29:09, ,dwarak_encoding
2024-11-09,12:29:22, ,dwarak_encoding
2024-11-09,12:30:23, ,dwarak_encoding
2024-11-10,22:45:40, ,dwarak_encoding
2024-11-10,22:45:43, ,dwarak_encoding
2024-11-10,22:47:59, ,dwarak_encoding
2024-11-10,22:48:01, ,dwarak_encoding
2024-11-10,22:54:51, ,dwarak_encoding
2024-11-10,22:54:54, ,dwarak_encoding
2024-11-10,23:53:24, ,dwarak_encoding
2024-11-10,23:53:26, ,dwarak_encoding
2024-11-13,01:15:46, ,dwarak_encoding
2024-11-13,01:20:20, ,dwarak_encoding
2024-11-13,01:20:23, ,dwarak_encoding
2024-11-13,01:23:14, ,dwarak_encoding
2024-11-13,01:23:17, ,dwarak_encoding
2024-11-13 , 01:24:25 , 35JF 449 , 
2024-11-13,01:24:32, ,dwarak_encoding
2024-11-13 , 12:28:01 , 35JF 449 , 
2024-11-13 , 12:28:03 , 35JF 449 , 
2024-11-13 , 12:28:08 , 35JF 449 , 
2024-11-13 , 12:28:10 , 35JF 449 , 
2024-11-13,12:28:15, ,dwarak_encoding
2024-11-13,12:28:17, ,dwarak_encoding
2024-11-13,12:28:20, ,dwarak_encoding
2024-11-13,12:28:22, ,dwarak_encoding
2024-11-13,12:28:27, ,dwarak_encoding
2024-11-13 , 16:34:28 , 35JF 449 , 
2024-11-13 , 16:34:31 , 35JF 449 , 
2024-11-13 , 16:34:34 , 35JF 449 , 
2024-11-13 , 16:34:37 , 35JF 449 , 
2024-11-13 , 16:34:40 , 35JF 449 , 
2024-11-13 , 16:34:43 , 35JF 449 , 
2024-11-13,16:35:22, ,dwarak_encoding
2024-11-13,16:35:49, ,dwarak_encoding
2024-11-14,16:31:39, ,dwarak_encoding
2024-11-14,16:31:44, ,dwarak_encoding
2024-11-14,16:31:52, ,dwarak_encoding
2024-11-14,16:31:54, ,dwarak_encoding

